Designator,Mid X,Mid Y,Rotation,Layer
C1,217.2,-107.7,0.0,top
C10,219.9,-100.3,90.0,top
C11,212.35,-97.0,0.0,top
C12,214.539411,-108.539411,315.0,top
C13,207.525,-104.6,180.0,top
C14,216.1,-78.5,180.0,top
C15,209.7,-111.02,270.0,top
C16,215.4,-111.7,270.0,top
C17,213.65,-97.9,45.0,top
C2,215.6,-97.2,0.0,top
C3,218.0,-99.8,0.0,top
C4,219.0,-98.3,45.0,top
C5,218.4,-104.3,0.0,top
C6,218.4,-100.8,0.0,top
C7,217.5,-108.7,0.0,top
C8,208.68,-98.8,180.0,top
C9,208.52,-99.8,180.0,top
J1,213.25,-70.0,180.0,top
J2,200.87,-91.38,0.0,top
J3,225.63,-91.38,0.0,top
J4,213.3,-120.1,90.0,top
R1,216.7,-75.8,0.0,top
R2,210.6,-76.71,270.0,top
R3,220.8,-94.6,270.0,top
R4,219.8,-94.6,270.0,top
R5,213.0,-109.3,180.0,top
R6,212.3,-89.5,0.0,top
R7,214.7,-89.5,180.0,top
SW1,209.6,-86.8,270.0,top
U1,213.2625,-103.3,90.0,top
U2,213.7,-93.5,270.0,top
U4,219.0,-80.2,270.0,top
Y1,212.5,-111.7,0.0,top
